step,it_per_sec
200,3.770197453672695
300,3.4007883176274993
400,3.680919413207462
500,3.663058734475307
600,3.590190109714821
700,3.5385783853629267
800,3.4669830207684833
900,3.4302356423621503
1000,3.356796911839144
1100,3.3286260066340976
1200,3.248179943247777
1300,3.2435557195115874
1400,3.2271351071712826
1500,3.2213398046040345
1600,3.2157254712398013
1700,3.215820576221713
1800,3.196421267723555
1900,3.214936293306398
2000,3.207781518115222
2100,3.062269399016438
